1,1,4
1,2,3
1,3,3
1,4,4
1,5,2
1,6,3
1,7,3
1,8,3
1,9,5
1,10,4
1,11,5
1,12,5
1,13,4
1,14,5
1,15,4
1,16,5
1,17,5
1,18,4
1,19,4
1,20,5
1,21,4
1,22,3
2,8,4
2,4,4
2,4,5
2,3,4
2,23,4
2,6,5
2,12,3
2,10,5
2,9,5
2,7,5
2,11,5
2,24,5
2,2,5
2,13,5
2,19,5
2,15,5
2,18,5
2,17,5
2,25,5
2,14,5
2,26,5
2,21,5
3,2,4
3,4,4
3,8,4
3,4,4
3,3,5
3,23,4
3,6,5
3,7,5
3,12,5
3,10,5
3,11,5
3,15,5
3,13,5
3,14,5
3,27,5
3,19,5
3,18,5
3,17,5
3,9,5
3,20,5
3,24,5
3,16,5
4,4,5
4,2,4
4,8,3
4,3,4
4,4,3
4,6,3
4,7,3
4,12,3
4,11,3
4,10,4
4,13,5
4,27,4
4,14,5
4,18,5
4,19,5
4,9,4
4,28,5
4,17,5
4,29,5
4,24,5
4,25,4
4,21,5
5,8,3
5,4,4
5,4,3
5,23,2
5,6,4
5,7,3
5,30,3
5,10,3
5,15,5
5,12,4
5,13,4
5,14,3
5,3,5
5,19,4
5,18,5
5,11,5
5,31,4
5,32,5
5,33,4
5,21,4
5,22,3
5,17,3
6,4,4
6,2,4
6,8,4
6,3,4
6,23,4
6,6,4
6,7,4
6,12,5
6,10,5
6,9,5
6,11,5
6,14,5
6,13,5
6,27,5
6,18,5
6,19,5
6,17,5
6,34,5
6,35,5
6,36,5
6,37,5
6,16,4
7,23,2
7,11,4
7,10,5
7,2,5
7,15,4
7,34,5
7,38,5
7,24,3
7,13,3
7,2,5
7,3,5
7,18,4
7,19,4
7,29,5
7,25,3
7,39,3
7,33,3
7,22,4
7,16,3
7,27,3
8,8,2
8,2,3
8,23,3
8,4,3
8,6,3
8,10,4
8,9,4
8,19,3
8,7,4
8,3,5
8,11,4
8,15,3
8,33,3
8,32,4
8,40,3
8,2,3
8,27,3
8,39,3
8,24,4
8,25,2
8,29,3
8,14,3
9,2,3
9,4,5
9,8,3
9,4,5
9,6,4
9,30,3
9,10,3
9,11,5
9,13,5
9,14,5
9,27,5
9,3,5
9,28,5
9,18,5
9,19,5
9,15,5
9,7,5
9,29,4
9,25,4
9,24,5
9,35,5
9,16,4
9,17,4
10,4,2
10,2,4
10,23,2
10,6,3
10,3,4
10,34,5
10,15,4
10,7,5
10,40,5
10,11,4
